<KeyValuePair: key=project, value=project>
<KeyValuePair: key=instru, value=instructions>
<KeyValuePair: key=instructi, value=instructions>
<KeyValuePair: key=whic, value=which>
<KeyValuePair: key=requ, value=requirements>
<KeyValuePair: key=tap, value=tape>
<KeyValuePair: key=diskp, value=diskpack>
<KeyValuePair: key=hand, value=hand>
<KeyValuePair: key=mou, value=mountains>
<KeyValuePair: key=moun, value=mountains>
<KeyValuePair: key=retrie, value=retrieve>
<KeyValuePair: key=large, value=large>
<KeyValuePair: key=carri, value=carried>
<KeyValuePair: key=cos, value=cost>
<KeyValuePair: key=conta, value=contact>
<KeyValuePair: key=containe, value=contained>
<KeyValuePair: key=meg, value=megabyte>
<KeyValuePair: key=megaby, value=megabyte>
<KeyValuePair: key=megabyt, value=megabyte>
<KeyValuePair: key=took, value=took>
<KeyValuePair: key=tw, value=two>
<KeyValuePair: key=ba, value=back>
<KeyValuePair: key=back, value=back>
<KeyValuePair: key=backups, value=backups>
<KeyValuePair: key=k, value=know>
<KeyValuePair: key=on, value=on>
<KeyValuePair: key=pap, value=paper>
<KeyValuePair: key=10, value=10>
<KeyValuePair: key=files, value=files>
<KeyValuePair: key=end, value=end>
<KeyValuePair: key=2001, value=2001>
<KeyValuePair: key=take, value=take>
<KeyValuePair: key=comparab, value=comparable>
<KeyValuePair: key=dri, value=driver>
<KeyValuePair: key=driv, value=driver>
<KeyValuePair: key=ne, value=never>
<KeyValuePair: key=nev, value=never>
<KeyValuePair: key=share, value=share>
<KeyValuePair: key=sharewar, value=sharewared>
<KeyValuePair: key=manner, value=manner>
<KeyValuePair: key=fe, value=few>
<KeyValuePair: key=usi, value=using>
<KeyValuePair: key=usin, value=using>
<KeyValuePair: key=cr, value=creon>
<KeyValuePair: key=crea, value=creature>
<KeyValuePair: key=tra, value=trademark>
<KeyValuePair: key=tran, value=transfer>
<KeyValuePair: key=acro, value=across>
<KeyValuePair: key=enou, value=enough>
<KeyValuePair: key=discrepan, value=discrepancies>
<KeyValuePair: key=discrepanci, value=discrepancies>
<KeyValuePair: key=discrepancies, value=discrepancies>
<KeyValuePair: key=withi, value=within>
<KeyValuePair: key=that, value=that>
<KeyValuePair: key=off, value=off>
<KeyValuePair: key=officia, value=official>
<KeyValuePair: key=docume, value=document>
<KeyValuePair: key=document, value=document>
<KeyValuePair: key=documentati, value=documentation>
<KeyValuePair: key=provide, value=provide>
<KeyValuePair: key=concl, value=concluded>
<KeyValuePair: key=fa, value=father>
<KeyValuePair: key=facs, value=facsimiles>
<KeyValuePair: key=indendence, value=indendence>
<KeyValuePair: key=sam, value=same>
<KeyValuePair: key=plet, value=plethora>
<KeyValuePair: key=var, value=various>
<KeyValuePair: key=varia, value=variations>
<KeyValuePair: key=variat, value=variations>
<KeyValuePair: key=capi, value=capital>
<KeyValuePair: key=capitali, value=capitalist>
<KeyValuePair: key=capitaliz, value=capitalization>
<KeyValuePair: key=capitalizati, value=capitalization>
<KeyValuePair: key=where, value=where>
<KeyValuePair: key=na, value=name>
<KeyValuePair: key=name, value=name>
<KeyValuePair: key=ap, value=ape>
<KeyValuePair: key=appear, value=appeared>
<KeyValuePair: key=left, value=left>
<KeyValuePair: key=resul, value=result>
<KeyValuePair: key=result, value=result>
<KeyValuePair: key=resulting, value=resulting>
<KeyValuePair: key=mis, value=miserable>
<KeyValuePair: key=misspe, value=misspellings>
<KeyValuePair: key=misspel, value=misspellings>
<KeyValuePair: key=misspell, value=misspellings>
<KeyValuePair: key=misspelling, value=misspellings>
<KeyValuePair: key=fro, value=from>
<KeyValuePair: key=abl, value=able>
<KeyValuePair: key=eas, value=easy>
<KeyValuePair: key=including, value=including>
<KeyValuePair: key=brit, value=britain>
<KeyValuePair: key=apr, value=april>
<KeyValuePair: key=brittis, value=brittish>
<KeyValuePair: key=spelle, value=spelled>
<KeyValuePair: key=congres, value=congress>
<KeyValuePair: key=ju, value=just>
<KeyValuePair: key=unani, value=unanimous>
<KeyValuePair: key=unanimo, value=unanimous>
<KeyValuePair: key=unanimous, value=unanimous>
<KeyValuePair: key=thirt, value=thirty>
<KeyValuePair: key=thirteen, value=thirteen>
<KeyValuePair: key=events, value=events>
<KeyValuePair: key=beco, value=become>
<KeyValuePair: key=necess, value=necessary>
<KeyValuePair: key=po, value=power>
<KeyValuePair: key=politi, value=political>
<KeyValuePair: key=politica, value=political>
<KeyValuePair: key=political, value=political>
<KeyValuePair: key=ban, value=bank>
<KeyValuePair: key=connected, value=connected>
<KeyValuePair: key=amo, value=among>
<KeyValuePair: key=amon, value=among>
<KeyValuePair: key=sepa, value=separate>
<KeyValuePair: key=separ, value=separate>
<KeyValuePair: key=separate, value=separate>
<KeyValuePair: key=ent, value=enter>
<KeyValuePair: key=decen, value=decent>
<KeyValuePair: key=decent, value=decent>
<KeyValuePair: key=opini, value=opinion>
<KeyValuePair: key=opinions, value=opinions>
<KeyValuePair: key=cau, value=cause>
<KeyValuePair: key=impel, value=impel>
<KeyValuePair: key=separati, value=separation>
<KeyValuePair: key=hold, value=hold>
<KeyValuePair: key=tru, value=true>
<KeyValuePair: key=truth, value=truth>
<KeyValuePair: key=eviden, value=evidently>
<KeyValuePair: key=endow, value=endowed>
<KeyValuePair: key=unalienab, value=unalienable>
<KeyValuePair: key=unalienabl, value=unalienable>
<KeyValuePair: key=liberty, value=liberty>
<KeyValuePair: key=pursu, value=pursued>
<KeyValuePair: key=hap, value=happy>
<KeyValuePair: key=happine, value=happiness>
<KeyValuePair: key=gove, value=government>
<KeyValuePair: key=gover, value=government>
<KeyValuePair: key=insti, value=instinct>
<KeyValuePair: key=instit, value=institution>
<KeyValuePair: key=instituted, value=instituted>
<KeyValuePair: key=derivin, value=deriving>
<KeyValuePair: key=whene, value=whenever>
<KeyValuePair: key=destru, value=destruction>
<KeyValuePair: key=destructi, value=destruction>
<KeyValuePair: key=destructiv, value=destructive>
<KeyValuePair: key=aboli, value=abolition>
<KeyValuePair: key=foundat, value=foundation>
<KeyValuePair: key=foundatio, value=foundation>
<KeyValuePair: key=such, value=such>
<KeyValuePair: key=princi, value=principal>
<KeyValuePair: key=principl, value=principles>
<KeyValuePair: key=organizi, value=organizing>
<KeyValuePair: key=like, value=like>
<KeyValuePair: key=effec, value=effect>
<KeyValuePair: key=effect, value=effect>
<KeyValuePair: key=safet, value=safety>
<KeyValuePair: key=pru, value=prudence>
<KeyValuePair: key=prudenc, value=prudence>
<KeyValuePair: key=indee, value=indeed>
<KeyValuePair: key=indeed, value=indeed>
<KeyValuePair: key=dicta, value=dictate>
<KeyValuePair: key=dictat, value=dictate>
<KeyValuePair: key=lo, value=long>
<KeyValuePair: key=lon, value=long>
<KeyValuePair: key=esta, value=established>
<KeyValuePair: key=estab, value=established>
<KeyValuePair: key=establ, value=established>
<KeyValuePair: key=establish, value=established>
<KeyValuePair: key=transi, value=transitory>
<KeyValuePair: key=accordi, value=according>
<KeyValuePair: key=accordin, value=according>
<KeyValuePair: key=ex, value=except>
<KeyValuePair: key=experienc, value=experience>
<KeyValuePair: key=hat, value=hath>
<KeyValuePair: key=dispose, value=disposed>
<KeyValuePair: key=suffe, value=suffered>
<KeyValuePair: key=evils, value=evils>
<KeyValuePair: key=sufferable, value=sufferable>
<KeyValuePair: key=thems, value=themselves>
<KeyValuePair: key=abolishin, value=abolishing>
<KeyValuePair: key=forms, value=forms>
<KeyValuePair: key=accus, value=accustomed>
<KeyValuePair: key=accust, value=accustomed>
<KeyValuePair: key=bu, value=but>
<KeyValuePair: key=abus, value=abuse>
<KeyValuePair: key=abuses, value=abuses>
<KeyValuePair: key=usu, value=usual>
<KeyValuePair: key=usur, value=usurpations>
<KeyValuePair: key=pursuing, value=pursuing>
<KeyValuePair: key=invariably, value=invariably>
<KeyValuePair: key=ob, value=obtain>
<KeyValuePair: key=obj, value=object>
<KeyValuePair: key=desi, value=desire>
<KeyValuePair: key=reduc, value=reduced>
<KeyValuePair: key=und, value=under>
<KeyValuePair: key=absol, value=absolute>
<KeyValuePair: key=absolute, value=absolute>
<KeyValuePair: key=dut, value=duty>
<KeyValuePair: key=gua, value=guard>
<KeyValuePair: key=guar, value=guard>
<KeyValuePair: key=fu, value=full>
<KeyValuePair: key=pat, value=path>
<KeyValuePair: key=patie, value=patient>
<KeyValuePair: key=patient, value=patient>
<KeyValuePair: key=colo, value=colonel>
<KeyValuePair: key=colon, value=colonel>
<KeyValuePair: key=colonie, value=colonies>
<KeyValuePair: key=necessity, value=necessity>
<KeyValuePair: key=const, value=constant>
<KeyValuePair: key=former, value=former>
<KeyValuePair: key=syst, value=system>
<KeyValuePair: key=histor, value=history>
<KeyValuePair: key=presen, value=present>
<KeyValuePair: key=king, value=king>
<KeyValuePair: key=gr, value=great>
<KeyValuePair: key=grea, value=great>
<KeyValuePair: key=britain, value=britain>
<KeyValuePair: key=having, value=having>
<KeyValuePair: key=direc, value=directly>
<KeyValuePair: key=direct, value=directly>
<KeyValuePair: key=establishmen, value=establishment>
<KeyValuePair: key=tyranny, value=tyranny>
<KeyValuePair: key=let, value=let>
<KeyValuePair: key=facts, value=facts>
<KeyValuePair: key=submitte, value=submitted>
<KeyValuePair: key=submitted, value=submitted>
<KeyValuePair: key=ref, value=refund>
<KeyValuePair: key=whole, value=whole>
<KeyValuePair: key=wholeso, value=wholesome>
<KeyValuePair: key=publ, value=public>
<KeyValuePair: key=public, value=public>
<KeyValuePair: key=goo, value=good>
<KeyValuePair: key=governors, value=governors>
<KeyValuePair: key=immedi, value=immediate>
<KeyValuePair: key=press, value=press>
<KeyValuePair: key=importanc, value=importance>
<KeyValuePair: key=unl, value=unless>
<KeyValuePair: key=susp, value=suspicion>
<KeyValuePair: key=suspende, value=suspended>
<KeyValuePair: key=opera, value=operating>
<KeyValuePair: key=operat, value=operating>
<KeyValuePair: key=operation, value=operation>
<KeyValuePair: key=til, value=till>
<KeyValuePair: key=obtain, value=obtain>
<KeyValuePair: key=ut, value=utterson>
<KeyValuePair: key=neglecte, value=neglected>
<KeyValuePair: key=neglected, value=neglected>
<KeyValuePair: key=accom, value=accompanied>
<KeyValuePair: key=accommo, value=accommodation>
<KeyValuePair: key=distri, value=distributing>
<KeyValuePair: key=woul, value=would>
<KeyValuePair: key=representa, value=representations>
<KeyValuePair: key=representat, value=representations>
<KeyValuePair: key=representatio, value=representations>
<KeyValuePair: key=representation, value=representations>
<KeyValuePair: key=legi, value=legislators>
<KeyValuePair: key=legislat, value=legislators>
<KeyValuePair: key=legislature, value=legislature>
<KeyValuePair: key=ines, value=inestimable>
<KeyValuePair: key=tyrants, value=tyrants>
<KeyValuePair: key=calle, value=called>
<KeyValuePair: key=called, value=called>
<KeyValuePair: key=toget, value=together>
<KeyValuePair: key=togeth, value=together>
<KeyValuePair: key=legislative, value=legislative>
<KeyValuePair: key=bod, value=body>
<KeyValuePair: key=bodie, value=bodies>
<KeyValuePair: key=place, value=place>
<KeyValuePair: key=unus, value=unusual>
<KeyValuePair: key=unusual, value=unusual>
<KeyValuePair: key=uncomfo, value=uncomfortable>
<KeyValuePair: key=uncomfor, value=uncomfortable>
<KeyValuePair: key=dista, value=distance>
<KeyValuePair: key=dep, value=departure>
<KeyValuePair: key=depos, value=deposed>
<KeyValuePair: key=depositor, value=depository>
<KeyValuePair: key=reco, value=recognized>
<KeyValuePair: key=recor, value=record>
<KeyValuePair: key=record, value=record>
<KeyValuePair: key=purp, value=purpose>
<KeyValuePair: key=fatig, value=fatigue>
<KeyValuePair: key=fatiguin, value=fatiguing>
<KeyValuePair: key=int, value=into>
<KeyValuePair: key=complian, value=compliance>
<KeyValuePair: key=measu, value=measures>
<KeyValuePair: key=measures, value=measures>
<KeyValuePair: key=dissolved, value=dissolved>
<KeyValuePair: key=representative, value=representative>
<KeyValuePair: key=repeatedly, value=repeatedly>
<KeyValuePair: key=opp, value=opportunity>
<KeyValuePair: key=oppos, value=opposite>
<KeyValuePair: key=manly, value=manly>
<KeyValuePair: key=firmne, value=firmness>
<KeyValuePair: key=firmness, value=firmness>
<KeyValuePair: key=invas, value=invasion>
<KeyValuePair: key=aft, value=after>
<KeyValuePair: key=dissolu, value=dissolution>
<KeyValuePair: key=dissolutio, value=dissolution>
<KeyValuePair: key=dissolution, value=dissolution>
<KeyValuePair: key=inca, value=incapable>
<KeyValuePair: key=annihi, value=annihilation>
<KeyValuePair: key=annihilati, value=annihilation>
<KeyValuePair: key=exerc, value=exercise>
<KeyValuePair: key=exercis, value=exercise>
<KeyValuePair: key=rema, value=remained>
<KeyValuePair: key=remainin, value=remaining>
<KeyValuePair: key=dange, value=danger>
<KeyValuePair: key=convulsi, value=convulsions>
<KeyValuePair: key=convulsions, value=convulsions>
<KeyValuePair: key=endea, value=endeavoured>
<KeyValuePair: key=prev, value=prevent>
<KeyValuePair: key=popula, value=population>
<KeyValuePair: key=populatio, value=population>
<KeyValuePair: key=population, value=population>
<KeyValuePair: key=obstructi, value=obstructing>
<KeyValuePair: key=naturaliza, value=naturalization>
<KeyValuePair: key=naturalization, value=naturalization>
<KeyValuePair: key=refusing, value=refusing>
<KeyValuePair: key=mig, value=might>
<KeyValuePair: key=migr, value=migration>
<KeyValuePair: key=migrati, value=migration>
<KeyValuePair: key=hit, value=hit>
<KeyValuePair: key=ra, value=rather>
<KeyValuePair: key=condi, value=condition>
<KeyValuePair: key=condit, value=condition>
<KeyValuePair: key=appropriations, value=appropriations>
<KeyValuePair: key=land, value=land>
<KeyValuePair: key=obstructe, value=obstructed>
<KeyValuePair: key=obstructed, value=obstructed>
<KeyValuePair: key=ad, value=additional>
<KeyValuePair: key=admi, value=admit>
<KeyValuePair: key=admin, value=administration>
<KeyValuePair: key=adminis, value=administration>
<KeyValuePair: key=administr, value=administration>
<KeyValuePair: key=administrati, value=administration>
<KeyValuePair: key=establishing, value=establishing>
<KeyValuePair: key=judic, value=judicial>
<KeyValuePair: key=judge, value=judge>
<KeyValuePair: key=alone, value=alone>
<KeyValuePair: key=sala, value=salaries>
<KeyValuePair: key=salar, value=salaries>
<KeyValuePair: key=salarie, value=salaries>
<KeyValuePair: key=erec, value=erect>
<KeyValuePair: key=officers, value=officers>
<KeyValuePair: key=haras, value=harass>
<KeyValuePair: key=subs, value=subscribe>
<KeyValuePair: key=substanc, value=substance>
<KeyValuePair: key=peac, value=peace>
<KeyValuePair: key=affec, value=affection>
<KeyValuePair: key=affect, value=affection>
<KeyValuePair: key=ren, value=rendered>
<KeyValuePair: key=milit, value=military>
<KeyValuePair: key=military, value=military>
<KeyValuePair: key=supe, value=superior>
<KeyValuePair: key=super, value=superior>
<KeyValuePair: key=superio, value=superior>
<KeyValuePair: key=superior, value=superior>
<KeyValuePair: key=civil, value=civilization>
<KeyValuePair: key=combine, value=combined>
<KeyValuePair: key=combined, value=combined>
<KeyValuePair: key=subje, value=subject>
<KeyValuePair: key=jur, value=jury>
<KeyValuePair: key=jurisdic, value=jurisdiction>
<KeyValuePair: key=jurisdict, value=jurisdiction>
<KeyValuePair: key=jurisdiction, value=jurisdiction>
<KeyValuePair: key=constitut, value=constitution>
<KeyValuePair: key=unac, value=unacquainted>
<KeyValuePair: key=unackno, value=unacknowledged>
<KeyValuePair: key=pretended, value=pretended>
<KeyValuePair: key=legislatio, value=legislation>
<KeyValuePair: key=legislation, value=legislation>
<KeyValuePair: key=quart, value=quarter>
<KeyValuePair: key=quarteri, value=quartering>
<KeyValuePair: key=quarterin, value=quartering>
<KeyValuePair: key=armed, value=armed>
<KeyValuePair: key=troops, value=troops>
<KeyValuePair: key=prot, value=protect>
<KeyValuePair: key=protec, value=protect>
<KeyValuePair: key=tri, value=tried>
<KeyValuePair: key=punis, value=punishment>
<KeyValuePair: key=punish, value=punishment>
<KeyValuePair: key=punishmen, value=punishment>
<KeyValuePair: key=murde, value=murderer>
<KeyValuePair: key=inh, value=inhabitants>
<KeyValuePair: key=inhabi, value=inhabitants>
<KeyValuePair: key=inhabit, value=inhabitants>
<KeyValuePair: key=cutti, value=cutting>
<KeyValuePair: key=part, value=part>
<KeyValuePair: key=imposi, value=imposing>
<KeyValuePair: key=tax, value=tax>
<KeyValuePair: key=depr, value=deprived>
<KeyValuePair: key=many, value=many>
<KeyValuePair: key=cases, value=cases>
<KeyValuePair: key=ben, value=beneath>
<KeyValuePair: key=benefi, value=benefit>
<KeyValuePair: key=transpor, value=transport>
<KeyValuePair: key=transporting, value=transporting>
<KeyValuePair: key=sea, value=sea>
<KeyValuePair: key=offences, value=offences>
<KeyValuePair: key=neigh, value=neighbors>
<KeyValuePair: key=provinc, value=province>
<KeyValuePair: key=therei, value=therein>
<KeyValuePair: key=therein, value=therein>
<KeyValuePair: key=enl, value=enlightenment>
<KeyValuePair: key=enlarging, value=enlarging>
<KeyValuePair: key=boundar, value=boundary>
<KeyValuePair: key=exam, value=example>
<KeyValuePair: key=instrument, value=instruments>
<KeyValuePair: key=intr, value=introduced>
<KeyValuePair: key=introduci, value=introducing>
<KeyValuePair: key=introducin, value=introducing>
<KeyValuePair: key=ru, value=russian>
<KeyValuePair: key=taki, value=taking>
<KeyValuePair: key=takin, value=taking>
<KeyValuePair: key=awa, value=away>
<KeyValuePair: key=charter, value=chartered>
<KeyValuePair: key=valuab, value=valuable>
<KeyValuePair: key=valuabl, value=valuable>
<KeyValuePair: key=fun, value=fundraising>
<KeyValuePair: key=fundam, value=fundamentally>
<KeyValuePair: key=fundamenta, value=fundamentally>
<KeyValuePair: key=suspendi, value=suspending>
<KeyValuePair: key=suspendin, value=suspending>
<KeyValuePair: key=declaring, value=declaring>
<KeyValuePair: key=inves, value=investment>
<KeyValuePair: key=invest, value=investment>
<KeyValuePair: key=whats, value=whatsoever>
<KeyValuePair: key=abd, value=abductor>
<KeyValuePair: key=abdicated, value=abdicated>
<KeyValuePair: key=protectio, value=protection>
<KeyValuePair: key=protection, value=protection>
<KeyValuePair: key=waging, value=waging>
<KeyValuePair: key=aga, value=again>
<KeyValuePair: key=against, value=against>
<KeyValuePair: key=plund, value=plundered>
<KeyValuePair: key=plundere, value=plundered>
<KeyValuePair: key=rav, value=ravings>
<KeyValuePair: key=coasts, value=coasts>
<KeyValuePair: key=bur, value=burst>
<KeyValuePair: key=burn, value=burning>
<KeyValuePair: key=destroye, value=destroyed>
<KeyValuePair: key=lives, value=lives>
<KeyValuePair: key=mercena, value=mercenaries>
<KeyValuePair: key=desol, value=desolate>
<KeyValuePair: key=desolati, value=desolation>
<KeyValuePair: key=alr, value=already>
<KeyValuePair: key=alrea, value=already>
<KeyValuePair: key=alread, value=already>
<KeyValuePair: key=circ, value=circumstances>
<KeyValuePair: key=circumstan, value=circumstances>
<KeyValuePair: key=crue, value=cruel>
<KeyValuePair: key=perfidy, value=perfidy>
<KeyValuePair: key=paralle, value=parallel>
<KeyValuePair: key=parallel, value=parallel>
<KeyValuePair: key=bar, value=bare>
<KeyValuePair: key=barb, value=barbarity>
<KeyValuePair: key=age, value=age>
<KeyValuePair: key=totally, value=totally>
<KeyValuePair: key=unworth, value=unworthy>
<KeyValuePair: key=civilize, value=civilized>
<KeyValuePair: key=civilized, value=civilized>
<KeyValuePair: key=natio, value=national>
<KeyValuePair: key=fell, value=fell>
<KeyValuePair: key=citi, value=citizens>
<KeyValuePair: key=citiz, value=citizens>
<KeyValuePair: key=taken, value=taken>
<KeyValuePair: key=capti, value=captive>
<KeyValuePair: key=arms, value=arms>
<KeyValuePair: key=executi, value=executive>
<KeyValuePair: key=executioner, value=executioner>
<KeyValuePair: key=friends, value=friends>
<KeyValuePair: key=bret, value=brethren>
<KeyValuePair: key=brethr, value=brethren>
<KeyValuePair: key=fall, value=fall>
<KeyValuePair: key=excit, value=excited>
<KeyValuePair: key=dome, value=domestic>
<KeyValuePair: key=insu, value=insurmountable>
<KeyValuePair: key=insur, value=insurmountable>
<KeyValuePair: key=insurrect, value=insurrection>
<KeyValuePair: key=amongst, value=amongst>
<KeyValuePair: key=fron, value=front>
<KeyValuePair: key=frontie, value=frontier>
<KeyValuePair: key=frontier, value=frontier>
<KeyValuePair: key=india, value=indiana>
<KeyValuePair: key=kn, value=know>
<KeyValuePair: key=know, value=know>
<KeyValuePair: key=known, value=known>
<KeyValuePair: key=warfa, value=warfare>
<KeyValuePair: key=undistingui, value=undistinguished>
<KeyValuePair: key=undistinguishe, value=undistinguished>
<KeyValuePair: key=sexe, value=sexes>
<KeyValuePair: key=every, value=every>
<KeyValuePair: key=stag, value=stage>
<KeyValuePair: key=oppr, value=oppressed>
<KeyValuePair: key=oppres, value=oppressed>
<KeyValuePair: key=pet, value=petty>
<KeyValuePair: key=petitioned, value=petitioned>
<KeyValuePair: key=terms, value=terms>
<KeyValuePair: key=petitions, value=petitions>
<KeyValuePair: key=answered, value=answered>
<KeyValuePair: key=prince, value=princess>
<KeyValuePair: key=chara, value=character>
<KeyValuePair: key=wantin, value=wanting>
<KeyValuePair: key=warne, value=warned>
<KeyValuePair: key=warned, value=warned>
<KeyValuePair: key=attempt, value=attempt>
<KeyValuePair: key=unwa, value=unwarrantable>
<KeyValuePair: key=unwar, value=unwarrantable>
<KeyValuePair: key=unwarrantab, value=unwarrantable>
<KeyValuePair: key=remi, value=reminded>
<KeyValuePair: key=remin, value=reminded>
<KeyValuePair: key=remind, value=reminded>
<KeyValuePair: key=emigra, value=emigration>
<KeyValuePair: key=settleme, value=settlement>
<KeyValuePair: key=settlemen, value=settlement>
<KeyValuePair: key=mag, value=magician>
<KeyValuePair: key=magn, value=magnificent>
<KeyValuePair: key=magnanimi, value=magnanimity>
<KeyValuePair: key=magnanimit, value=magnanimity>
<KeyValuePair: key=conjur, value=conjured>
<KeyValuePair: key=ties, value=ties>
<KeyValuePair: key=commo, value=common>
<KeyValuePair: key=kindred, value=kindred>
<KeyValuePair: key=disa, value=disappeared>
<KeyValuePair: key=disav, value=disavow>
<KeyValuePair: key=disavow, value=disavow>
<KeyValuePair: key=inevi, value=inevitable>
<KeyValuePair: key=inevit, value=inevitable>
<KeyValuePair: key=interru, value=interrupted>
<KeyValuePair: key=interrupt, value=interrupted>
<KeyValuePair: key=correspo, value=corresponding>
<KeyValuePair: key=correspon, value=corresponding>
<KeyValuePair: key=correspond, value=corresponding>
<KeyValuePair: key=voic, value=voice>
<KeyValuePair: key=consangui, value=consanguinity>
<KeyValuePair: key=consanguin, value=consanguinity>
<KeyValuePair: key=mus, value=must>
<KeyValuePair: key=therefo, value=therefore>
<KeyValuePair: key=acq, value=acquainted>
<KeyValuePair: key=acqui, value=acquired>
<KeyValuePair: key=acquies, value=acquiescence>
<KeyValuePair: key=denou, value=denounced>
<KeyValuePair: key=enemie, value=enemies>
<KeyValuePair: key=assemb, value=assembled>
<KeyValuePair: key=appealing, value=appealing>
<KeyValuePair: key=supreme, value=supreme>
<KeyValuePair: key=rectitude, value=rectitude>
<KeyValuePair: key=autho, value=author>
<KeyValuePair: key=authority, value=authority>
<KeyValuePair: key=solemnly, value=solemnly>
<KeyValuePair: key=publis, value=published>
<KeyValuePair: key=ough, value=ought>
<KeyValuePair: key=alleg, value=allegiance>
<KeyValuePair: key=allegian, value=allegiance>
<KeyValuePair: key=allegiance, value=allegiance>
<KeyValuePair: key=britis, value=british>
<KeyValuePair: key=british, value=british>
<KeyValuePair: key=crow, value=crowd>
<KeyValuePair: key=crown, value=crown>
<KeyValuePair: key=betwe, value=between>
<KeyValuePair: key=full, value=full>
<KeyValuePair: key=contra, value=contract>
