<KeyValuePair: key=pr, value=project>
<KeyValuePair: key=compu, value=computer>
<KeyValuePair: key=comput, value=computer>
<KeyValuePair: key=si, value=side>
<KeyValuePair: key=since, value=since>
<KeyValuePair: key=1971, value=1971>
<KeyValuePair: key=thes, value=these>
<KeyValuePair: key=prepar, value=prepare>
<KeyValuePair: key=thou, value=thou>
<KeyValuePair: key=thousan, value=thousand>
<KeyValuePair: key=thousand, value=thousand>
<KeyValuePair: key=volu, value=volunteers>
<KeyValuePair: key=volunteer, value=volunteers>
<KeyValuePair: key=releas, value=release>
<KeyValuePair: key=date, value=date>
<KeyValuePair: key=decem, value=december>
<KeyValuePair: key=mo, value=more>
<KeyValuePair: key=november, value=november>
<KeyValuePair: key=2, value=2>
<KeyValuePair: key=20, value=20>
<KeyValuePair: key=200, value=2001>
<KeyValuePair: key=2004, value=2004>
<KeyValuePair: key=edition, value=editions>
<KeyValuePair: key=lang, value=language>
<KeyValuePair: key=langua, value=language>
<KeyValuePair: key=eng, value=england>
<KeyValuePair: key=engl, value=england>
<KeyValuePair: key=states, value=states>
<KeyValuePair: key=wa, value=was>
<KeyValuePair: key=ete, value=etext>
<KeyValuePair: key=etex, value=etext>
<KeyValuePair: key=etext, value=etext>
<KeyValuePair: key=ear, value=earth>
<KeyValuePair: key=earl, value=early>
<KeyValuePair: key=sto, value=stood>
<KeyValuePair: key=ins, value=instant>
<KeyValuePair: key=inst, value=instant>
<KeyValuePair: key=instruc, value=instructions>
<KeyValuePair: key=instruct, value=instructions>
<KeyValuePair: key=instruction, value=instructions>
<KeyValuePair: key=set, value=set>
<KeyValuePair: key=req, value=requirements>
<KeyValuePair: key=requi, value=requirements>
<KeyValuePair: key=tape, value=tape>
<KeyValuePair: key=dis, value=distributing>
<KeyValuePair: key=diskpa, value=diskpack>
<KeyValuePair: key=diskpack, value=diskpack>
<KeyValuePair: key=larg, value=large>
<KeyValuePair: key=carr, value=carried>
<KeyValuePair: key=carrie, value=carried>
<KeyValuePair: key=con, value=contact>
<KeyValuePair: key=cont, value=contact>
<KeyValuePair: key=contai, value=contain>
<KeyValuePair: key=mega, value=megabyte>
<KeyValuePair: key=megabyte, value=megabyte>
<KeyValuePair: key=backu, value=backups>
<KeyValuePair: key=backup, value=backups>
<KeyValuePair: key=ke, value=keep>
<KeyValuePair: key=kep, value=kept>
<KeyValuePair: key=kept, value=kept>
<KeyValuePair: key=plus, value=plus>
<KeyValuePair: key=one, value=one>
<KeyValuePair: key=pape, value=paper>
<KeyValuePair: key=onlin, value=online>
<KeyValuePair: key=tak, value=take>
<KeyValuePair: key=compa, value=companion>
<KeyValuePair: key=comparably, value=comparably>
<KeyValuePair: key=dr, value=dr>
<KeyValuePair: key=drive, value=driver>
<KeyValuePair: key=neve, value=never>
<KeyValuePair: key=copyrighte, value=copyrighted>
<KeyValuePair: key=copyrighted, value=copyrighted>
<KeyValuePair: key=shar, value=share>
<KeyValuePair: key=thus, value=thus>
<KeyValuePair: key=man, value=man>
<KeyValuePair: key=cho, value=chorus>
<KeyValuePair: key=choos, value=choose>
<KeyValuePair: key=fee, value=fee>
<KeyValuePair: key=feel, value=feel>
<KeyValuePair: key=own, value=own>
<KeyValuePair: key=as, value=as>
<KeyValuePair: key=resear, value=research>
<KeyValuePair: key=cre, value=creon>
<KeyValuePair: key=creatin, value=creating>
<KeyValuePair: key=tr, value=trademark>
<KeyValuePair: key=transcri, value=transcription>
<KeyValuePair: key=transcrip, value=transcription>
<KeyValuePair: key=transcript, value=transcription>
<KeyValuePair: key=transcription, value=transcription>
<KeyValuePair: key=ac, value=access>
<KeyValuePair: key=eno, value=enough>
<KeyValuePair: key=discrepanc, value=discrepancies>
<KeyValuePair: key=discrepancie, value=discrepancies>
<KeyValuePair: key=even, value=even>
<KeyValuePair: key=offi, value=office>
<KeyValuePair: key=documenta, value=documentation>
<KeyValuePair: key=documentat, value=documentation>
<KeyValuePair: key=documentation, value=documentation>
<KeyValuePair: key=conclu, value=concluded>
<KeyValuePair: key=conclud, value=concluded>
<KeyValuePair: key=facsi, value=facsimiles>
<KeyValuePair: key=facsimi, value=facsimiles>
<KeyValuePair: key=facsimil, value=facsimiles>
<KeyValuePair: key=indendenc, value=indendence>
<KeyValuePair: key=wil, value=will>
<KeyValuePair: key=will, value=will>
<KeyValuePair: key=going, value=going>
<KeyValuePair: key=sa, value=said>
<KeyValuePair: key=same, value=same>
<KeyValuePair: key=ori, value=original>
<KeyValuePair: key=origin, value=original>
<KeyValuePair: key=pletho, value=plethora>
<KeyValuePair: key=vari, value=various>
<KeyValuePair: key=cap, value=capital>
<KeyValuePair: key=capitalizatio, value=capitalization>
<KeyValuePair: key=punc, value=punctuation>
<KeyValuePair: key=punct, value=punctuation>
<KeyValuePair: key=punctua, value=punctuation>
<KeyValuePair: key=punctuat, value=punctuation>
<KeyValuePair: key=punctuation, value=punctuation>
<KeyValuePair: key=wher, value=where>
<KeyValuePair: key=nam, value=name>
<KeyValuePair: key=resultin, value=resulting>
<KeyValuePair: key=has, value=has>
<KeyValuePair: key=misspellin, value=misspellings>
<KeyValuePair: key=misspellings, value=misspellings>
<KeyValuePair: key=from, value=from>
<KeyValuePair: key=parc, value=parched>
<KeyValuePair: key=parch, value=parched>
<KeyValuePair: key=parchme, value=parchment>
<KeyValuePair: key=able, value=able>
<KeyValuePair: key=easi, value=easily>
<KeyValuePair: key=easil, value=easily>
<KeyValuePair: key=includin, value=including>
<KeyValuePair: key=j, value=just>
<KeyValuePair: key=jt, value=jt>
<KeyValuePair: key=however, value=however>
<KeyValuePair: key=america, value=american>
<KeyValuePair: key=17, value=17>
<KeyValuePair: key=unan, value=unanimous>
<KeyValuePair: key=unanim, value=unanimous>
<KeyValuePair: key=thirte, value=thirteen>
<KeyValuePair: key=cours, value=course>
<KeyValuePair: key=event, value=events>
<KeyValuePair: key=becom, value=become>
<KeyValuePair: key=neces, value=necessary>
<KeyValuePair: key=necessar, value=necessary>
<KeyValuePair: key=peo, value=people>
<KeyValuePair: key=peop, value=people>
<KeyValuePair: key=peopl, value=people>
<KeyValuePair: key=disso, value=dissolution>
<KeyValuePair: key=dissol, value=dissolution>
<KeyValuePair: key=politic, value=political>
<KeyValuePair: key=bands, value=bands>
<KeyValuePair: key=connec, value=connection>
<KeyValuePair: key=connect, value=connection>
<KeyValuePair: key=ano, value=another>
<KeyValuePair: key=anot, value=another>
<KeyValuePair: key=anoth, value=another>
<KeyValuePair: key=powers, value=powers>
<KeyValuePair: key=eart, value=earth>
<KeyValuePair: key=earth, value=earth>
<KeyValuePair: key=sep, value=separate>
<KeyValuePair: key=separa, value=separate>
<KeyValuePair: key=separat, value=separate>
<KeyValuePair: key=statio, value=station>
<KeyValuePair: key=natur, value=nature>
<KeyValuePair: key=enti, value=entirely>
<KeyValuePair: key=entit, value=entity>
<KeyValuePair: key=entitl, value=entitled>
<KeyValuePair: key=respec, value=respect>
<KeyValuePair: key=respect, value=respect>
<KeyValuePair: key=opin, value=opinion>
<KeyValuePair: key=opinion, value=opinion>
<KeyValuePair: key=mankin, value=mankind>
<KeyValuePair: key=mankind, value=mankind>
<KeyValuePair: key=requires, value=requires>
<KeyValuePair: key=declare, value=declared>
<KeyValuePair: key=causes, value=causes>
<KeyValuePair: key=separation, value=separation>
<KeyValuePair: key=sel, value=self>
<KeyValuePair: key=men, value=men>
<KeyValuePair: key=endowe, value=endowed>
<KeyValuePair: key=endowed, value=endowed>
<KeyValuePair: key=their, value=their>
<KeyValuePair: key=creato, value=creator>
<KeyValuePair: key=ce, value=certain>
<KeyValuePair: key=certain, value=certain>
<KeyValuePair: key=unalien, value=unalienable>
<KeyValuePair: key=liber, value=liberty>
<KeyValuePair: key=libert, value=liberty>
<KeyValuePair: key=purs, value=pursued>
<KeyValuePair: key=pursui, value=pursuit>
<KeyValuePair: key=pursuit, value=pursuit>
<KeyValuePair: key=happin, value=happiness>
<KeyValuePair: key=secur, value=secure>
<KeyValuePair: key=gov, value=government>
<KeyValuePair: key=governm, value=government>
<KeyValuePair: key=governments, value=governments>
<KeyValuePair: key=deriv, value=derivative>
<KeyValuePair: key=consen, value=consent>
<KeyValuePair: key=consent, value=consent>
<KeyValuePair: key=governe, value=governed>
<KeyValuePair: key=governed, value=governed>
<KeyValuePair: key=wheneve, value=whenever>
<KeyValuePair: key=des, value=desire>
<KeyValuePair: key=dest, value=destroy>
<KeyValuePair: key=destruc, value=destruction>
<KeyValuePair: key=destruct, value=destruction>
<KeyValuePair: key=destructive, value=destructive>
<KeyValuePair: key=alter, value=alteration>
<KeyValuePair: key=abol, value=abolition>
<KeyValuePair: key=laying, value=laying>
<KeyValuePair: key=foun, value=foundation>
<KeyValuePair: key=found, value=foundation>
<KeyValuePair: key=organiz, value=organized>
<KeyValuePair: key=seem, value=seemed>
<KeyValuePair: key=lik, value=like>
<KeyValuePair: key=safety, value=safety>
<KeyValuePair: key=pruden, value=prudence>
<KeyValuePair: key=dic, value=dick>
<KeyValuePair: key=dict, value=dictate>
<KeyValuePair: key=es, value=escape>
<KeyValuePair: key=est, value=established>
<KeyValuePair: key=lig, value=light>
<KeyValuePair: key=ligh, value=light>
<KeyValuePair: key=light, value=light>
<KeyValuePair: key=transien, value=transient>
<KeyValuePair: key=transient, value=transient>
<KeyValuePair: key=acco, value=account>
<KeyValuePair: key=according, value=according>
<KeyValuePair: key=accordingl, value=accordingly>
<KeyValuePair: key=exper, value=experience>
<KeyValuePair: key=experie, value=experience>
<KeyValuePair: key=experience, value=experience>
<KeyValuePair: key=disp, value=displaying>
<KeyValuePair: key=dispos, value=disposed>
<KeyValuePair: key=suff, value=suffered>
<KeyValuePair: key=suffera, value=sufferable>
<KeyValuePair: key=themse, value=themselves>
<KeyValuePair: key=themsel, value=themselves>
<KeyValuePair: key=themselves, value=themselves>
<KeyValuePair: key=abolishing, value=abolishing>
<KeyValuePair: key=accusto, value=accustomed>
<KeyValuePair: key=accustome, value=accustomed>
<KeyValuePair: key=accustomed, value=accustomed>
<KeyValuePair: key=trai, value=trail>
<KeyValuePair: key=abuse, value=abuse>
<KeyValuePair: key=usurpatio, value=usurpations>
<KeyValuePair: key=invar, value=invariably>
<KeyValuePair: key=invaria, value=invariably>
<KeyValuePair: key=obje, value=object>
<KeyValuePair: key=evin, value=evinced>
<KeyValuePair: key=design, value=design>
<KeyValuePair: key=reduce, value=reduced>
<KeyValuePair: key=unde, value=under>
<KeyValuePair: key=abs, value=absence>
<KeyValuePair: key=absolu, value=absolute>
<KeyValuePair: key=absolut, value=absolute>
<KeyValuePair: key=desp, value=despair>
<KeyValuePair: key=despoti, value=despotic>
<KeyValuePair: key=duty, value=duty>
<KeyValuePair: key=thr, value=through>
<KeyValuePair: key=throw, value=throw>
<KeyValuePair: key=guards, value=guards>
<KeyValuePair: key=futur, value=future>
<KeyValuePair: key=bee, value=been>
<KeyValuePair: key=pati, value=patient>
<KeyValuePair: key=sufferance, value=sufferance>
<KeyValuePair: key=coloni, value=colonies>
<KeyValuePair: key=now, value=now>
<KeyValuePair: key=constra, value=constrained>
<KeyValuePair: key=sy, value=system>
<KeyValuePair: key=syste, value=system>
<KeyValuePair: key=his, value=his>
<KeyValuePair: key=hist, value=history>
<KeyValuePair: key=ki, value=kind>
<KeyValuePair: key=gre, value=great>
<KeyValuePair: key=brita, value=britain>
<KeyValuePair: key=repeate, value=repeated>
<KeyValuePair: key=repeated, value=repeated>
<KeyValuePair: key=injur, value=injury>
<KeyValuePair: key=injurie, value=injuries>
<KeyValuePair: key=havin, value=having>
<KeyValuePair: key=tyran, value=tyrant>
<KeyValuePair: key=refu, value=refund>
<KeyValuePair: key=assen, value=assent>
<KeyValuePair: key=assent, value=assent>
<KeyValuePair: key=who, value=who>
<KeyValuePair: key=whol, value=whole>
<KeyValuePair: key=wholesom, value=wholesome>
<KeyValuePair: key=publi, value=public>
<KeyValuePair: key=governor, value=governor>
<KeyValuePair: key=pas, value=passed>
<KeyValuePair: key=pressi, value=pressing>
<KeyValuePair: key=unle, value=unless>
<KeyValuePair: key=unless, value=unless>
<KeyValuePair: key=suspe, value=suspect>
<KeyValuePair: key=oper, value=operating>
<KeyValuePair: key=utter, value=utterson>
<KeyValuePair: key=utterl, value=utterly>
<KeyValuePair: key=neglec, value=neglected>
<KeyValuePair: key=neglect, value=neglected>
<KeyValuePair: key=atten, value=attention>
<KeyValuePair: key=attend, value=attend>
<KeyValuePair: key=accomm, value=accommodation>
<KeyValuePair: key=accommoda, value=accommodation>
<KeyValuePair: key=accommodat, value=accommodation>
<KeyValuePair: key=accommodation, value=accommodation>
<KeyValuePair: key=dist, value=distributing>
<KeyValuePair: key=distric, value=district>
<KeyValuePair: key=district, value=district>
<KeyValuePair: key=relin, value=relinquish>
<KeyValuePair: key=relinqu, value=relinquish>
<KeyValuePair: key=represe, value=representations>
<KeyValuePair: key=representati, value=representations>
<KeyValuePair: key=legislatu, value=legislature>
<KeyValuePair: key=inestimab, value=inestimable>
<KeyValuePair: key=inestimabl, value=inestimable>
<KeyValuePair: key=formida, value=formidable>
<KeyValuePair: key=tyrant, value=tyrant>
<KeyValuePair: key=cal, value=called>
<KeyValuePair: key=call, value=called>
<KeyValuePair: key=together, value=together>
<KeyValuePair: key=legislati, value=legislative>
<KeyValuePair: key=bodi, value=bodies>
<KeyValuePair: key=plac, value=place>
<KeyValuePair: key=unusu, value=unusual>
<KeyValuePair: key=unc, value=uncle>
<KeyValuePair: key=uncomf, value=uncomfortable>
<KeyValuePair: key=uncomforta, value=uncomfortable>
<KeyValuePair: key=deposi, value=deposition>
<KeyValuePair: key=deposit, value=deposition>
<KeyValuePair: key=records, value=records>
<KeyValuePair: key=purpose, value=purpose>
<KeyValuePair: key=fatigu, value=fatigue>
<KeyValuePair: key=complianc, value=compliance>
<KeyValuePair: key=meas, value=measures>
<KeyValuePair: key=measure, value=measures>
<KeyValuePair: key=hou, value=house>
<KeyValuePair: key=repeatedl, value=repeatedly>
<KeyValuePair: key=opposi, value=opposite>
<KeyValuePair: key=manl, value=manly>
<KeyValuePair: key=firm, value=firm>
<KeyValuePair: key=firmnes, value=firmness>
<KeyValuePair: key=invasi, value=invasion>
<KeyValuePair: key=invasions, value=invasions>
<KeyValuePair: key=afte, value=after>
<KeyValuePair: key=electe, value=elected>
<KeyValuePair: key=elected, value=elected>
<KeyValuePair: key=whereby, value=whereby>
<KeyValuePair: key=incapab, value=incapable>
<KeyValuePair: key=incapabl, value=incapable>
<KeyValuePair: key=annihila, value=annihilation>
<KeyValuePair: key=annihilat, value=annihilation>
<KeyValuePair: key=annihilation, value=annihilation>
<KeyValuePair: key=retur, value=return>
<KeyValuePair: key=exe, value=exempt>
<KeyValuePair: key=exerci, value=exercise>
<KeyValuePair: key=remai, value=remained>
<KeyValuePair: key=remaining, value=remaining>
<KeyValuePair: key=expo, value=exporting>
<KeyValuePair: key=dang, value=danger>
<KeyValuePair: key=convulsio, value=convulsions>
<KeyValuePair: key=ende, value=endeavoured>
<KeyValuePair: key=preve, value=prevent>
<KeyValuePair: key=populati, value=population>
<KeyValuePair: key=obstr, value=obstructed>
<KeyValuePair: key=obstructing, value=obstructing>
<KeyValuePair: key=naturaliz, value=naturalization>
<KeyValuePair: key=foreig, value=foreign>
<KeyValuePair: key=foreigners, value=foreigners>
<KeyValuePair: key=refusin, value=refusing>
<KeyValuePair: key=enc, value=encourage>
<KeyValuePair: key=encour, value=encourage>
<KeyValuePair: key=migra, value=migration>
<KeyValuePair: key=migrat, value=migration>
<KeyValuePair: key=migration, value=migration>
<KeyValuePair: key=hither, value=hitherto>
<KeyValuePair: key=rai, value=raised>
<KeyValuePair: key=raisin, value=raising>
<KeyValuePair: key=cond, value=condition>
<KeyValuePair: key=appro, value=approach>
<KeyValuePair: key=approp, value=appropriation>
<KeyValuePair: key=appropriatio, value=appropriation>
<KeyValuePair: key=adm, value=admit>
<KeyValuePair: key=admini, value=administration>
<KeyValuePair: key=administra, value=administration>
<KeyValuePair: key=administrat, value=administration>
<KeyValuePair: key=administration, value=administration>
<KeyValuePair: key=justic, value=justice>
<KeyValuePair: key=establishin, value=establishing>
<KeyValuePair: key=judici, value=judicial>
<KeyValuePair: key=judiciary, value=judiciary>
<KeyValuePair: key=judg, value=judge>
<KeyValuePair: key=depe, value=depends>
<KeyValuePair: key=alon, value=alone>
<KeyValuePair: key=tenur, value=tenure>
<KeyValuePair: key=amou, value=amount>
<KeyValuePair: key=paymen, value=payments>
<KeyValuePair: key=payment, value=payments>
<KeyValuePair: key=sal, value=salt>
<KeyValuePair: key=salari, value=salaries>
<KeyValuePair: key=multitu, value=multitude>
<KeyValuePair: key=multitud, value=multitude>
<KeyValuePair: key=officer, value=officer>
<KeyValuePair: key=substan, value=substance>
<KeyValuePair: key=times, value=times>
<KeyValuePair: key=peace, value=peace>
<KeyValuePair: key=stan, value=stand>
<KeyValuePair: key=stand, value=stand>
<KeyValuePair: key=legislatures, value=legislatures>
<KeyValuePair: key=render, value=rendered>
<KeyValuePair: key=milita, value=military>
<KeyValuePair: key=independent, value=independent>
<KeyValuePair: key=sup, value=support>
<KeyValuePair: key=superi, value=superior>
<KeyValuePair: key=ci, value=city>
<KeyValuePair: key=combin, value=combined>
<KeyValuePair: key=subj, value=subject>
<KeyValuePair: key=juri, value=jurisdiction>
<KeyValuePair: key=jurisdi, value=jurisdiction>
<KeyValuePair: key=jurisdicti, value=jurisdiction>
<KeyValuePair: key=consti, value=constitution>
<KeyValuePair: key=constit, value=constitution>
<KeyValuePair: key=unackn, value=unacknowledged>
<KeyValuePair: key=unacknow, value=unacknowledged>
<KeyValuePair: key=unacknowl, value=unacknowledged>
<KeyValuePair: key=unacknowledg, value=unacknowledged>
<KeyValuePair: key=gi, value=give>
<KeyValuePair: key=giving, value=giving>
<KeyValuePair: key=act, value=act>
<KeyValuePair: key=preten, value=pretend>
<KeyValuePair: key=pretend, value=pretend>
<KeyValuePair: key=quarte, value=quarter>
<KeyValuePair: key=quartering, value=quartering>
<KeyValuePair: key=troo, value=troop>
<KeyValuePair: key=troop, value=troop>
<KeyValuePair: key=prote, value=protect>
<KeyValuePair: key=protecti, value=protection>
<KeyValuePair: key=mock, value=mockery>
<KeyValuePair: key=tria, value=trial>
<KeyValuePair: key=trial, value=trial>
<KeyValuePair: key=mur, value=murderer>
<KeyValuePair: key=murd, value=murderer>
<KeyValuePair: key=inha, value=inhabitants>
<KeyValuePair: key=inhabita, value=inhabitants>
<KeyValuePair: key=cu, value=current>
<KeyValuePair: key=cut, value=cut>
<KeyValuePair: key=cutt, value=cutting>
<KeyValuePair: key=imposing, value=imposing>
<KeyValuePair: key=taxe, value=taxes>
<KeyValuePair: key=depri, value=deprived>
<KeyValuePair: key=depriving, value=depriving>
<KeyValuePair: key=bene, value=beneath>
<KeyValuePair: key=jury, value=jury>
<KeyValuePair: key=transportin, value=transporting>
<KeyValuePair: key=bey, value=beyond>
<KeyValuePair: key=trie, value=tried>
<KeyValuePair: key=tried, value=tried>
<KeyValuePair: key=offe, value=offer>
<KeyValuePair: key=offence, value=offence>
<KeyValuePair: key=nei, value=neither>
<KeyValuePair: key=neighbourin, value=neighbouring>
<KeyValuePair: key=provin, value=province>
<KeyValuePair: key=arbitr, value=arbitrament>
<KeyValuePair: key=arbitrary, value=arbitrary>
<KeyValuePair: key=enla, value=enlarging>
<KeyValuePair: key=enlargi, value=enlarging>
<KeyValuePair: key=boun, value=bound>
<KeyValuePair: key=bound, value=bound>
<KeyValuePair: key=boundari, value=boundaries>
<KeyValuePair: key=exa, value=example>
<KeyValuePair: key=example, value=example>
<KeyValuePair: key=introduc, value=introduced>
<KeyValuePair: key=aw, value=away>
<KeyValuePair: key=away, value=away>
<KeyValuePair: key=char, value=charge>
<KeyValuePair: key=chart, value=chart>
<KeyValuePair: key=valuable, value=valuable>
<KeyValuePair: key=fundamen, value=fundamentally>
<KeyValuePair: key=fundament, value=fundamentally>
<KeyValuePair: key=fundamentally, value=fundamentally>
<KeyValuePair: key=suspending, value=suspending>
<KeyValuePair: key=declari, value=declaring>
<KeyValuePair: key=legislate, value=legislate>
<KeyValuePair: key=whatsoever, value=whatsoever>
<KeyValuePair: key=abdi, value=abdicated>
<KeyValuePair: key=wagin, value=waging>
<KeyValuePair: key=ag, value=again>
<KeyValuePair: key=agai, value=again>
<KeyValuePair: key=plunde, value=plundered>
<KeyValuePair: key=rava, value=ravages>
<KeyValuePair: key=coas, value=coast>
<KeyValuePair: key=coast, value=coast>
<KeyValuePair: key=town, value=town>
<KeyValuePair: key=destroy, value=destroy>
<KeyValuePair: key=mer, value=mere>
<KeyValuePair: key=mercen, value=mercenaries>
<KeyValuePair: key=mercenari, value=mercenaries>
<KeyValuePair: key=works, value=works>
<KeyValuePair: key=desola, value=desolate>
<KeyValuePair: key=desolat, value=desolate>
<KeyValuePair: key=desolation, value=desolation>
<KeyValuePair: key=alre, value=already>
<KeyValuePair: key=circu, value=circumstances>
<KeyValuePair: key=circumstanc, value=circumstances>
<KeyValuePair: key=cru, value=cruel>
<KeyValuePair: key=cruelty, value=cruelty>
<KeyValuePair: key=scarc, value=scarce>
<KeyValuePair: key=parallele, value=paralleled>
<KeyValuePair: key=paralleled, value=paralleled>
<KeyValuePair: key=barba, value=barbarity>
<KeyValuePair: key=barbarou, value=barbarous>
<KeyValuePair: key=unw, value=unwilling>
<KeyValuePair: key=civili, value=civilization>
<KeyValuePair: key=constraine, value=constrained>
<KeyValuePair: key=constrained, value=constrained>
<KeyValuePair: key=cit, value=city>
<KeyValuePair: key=citize, value=citizens>
<KeyValuePair: key=capt, value=captain>
<KeyValuePair: key=captive, value=captive>
<KeyValuePair: key=hig, value=high>
<KeyValuePair: key=high, value=high>
<KeyValuePair: key=bea, value=beasts>
<KeyValuePair: key=executio, value=execution>
<KeyValuePair: key=executioners, value=executioners>
<KeyValuePair: key=frien, value=friend>
<KeyValuePair: key=friend, value=friend>
<KeyValuePair: key=brethren, value=brethren>
<KeyValuePair: key=excite, value=excited>
<KeyValuePair: key=excited, value=excited>
<KeyValuePair: key=dom, value=domain>
<KeyValuePair: key=domestic, value=domestic>
<KeyValuePair: key=insurre, value=insurrection>
<KeyValuePair: key=insurrecti, value=insurrection>
<KeyValuePair: key=insurrections, value=insurrections>
<KeyValuePair: key=bring, value=bring>
<KeyValuePair: key=frontiers, value=frontiers>
<KeyValuePair: key=merciles, value=merciless>
<KeyValuePair: key=indi, value=individual>
<KeyValuePair: key=savag, value=savage>
<KeyValuePair: key=warf, value=warfare>
<KeyValuePair: key=warfare, value=warfare>
<KeyValuePair: key=undi, value=undiscovered>
<KeyValuePair: key=undisti, value=undistinguished>
<KeyValuePair: key=undistingu, value=undistinguished>
<KeyValuePair: key=destruction, value=destruction>
<KeyValuePair: key=sex, value=sex>
<KeyValuePair: key=ever, value=every>
<KeyValuePair: key=stage, value=stage>
<KeyValuePair: key=oppre, value=oppressed>
<KeyValuePair: key=oppress, value=oppressed>
<KeyValuePair: key=oppression, value=oppression>
<KeyValuePair: key=peti, value=petition>
<KeyValuePair: key=petit, value=petition>
<KeyValuePair: key=petition, value=petition>
<KeyValuePair: key=humb, value=humble>
<KeyValuePair: key=humbl, value=humble>
<KeyValuePair: key=ans, value=answer>
<KeyValuePair: key=answer, value=answer>
<KeyValuePair: key=mar, value=mars>
<KeyValuePair: key=defin, value=definite>
<KeyValuePair: key=ruler, value=ruler>
<KeyValuePair: key=wanting, value=wanting>
<KeyValuePair: key=attent, value=attention>
<KeyValuePair: key=attention, value=attention>
<KeyValuePair: key=warn, value=warn>
<KeyValuePair: key=attempts, value=attempts>
<KeyValuePair: key=exten, value=extent>
<KeyValuePair: key=extend, value=extended>
<KeyValuePair: key=unwarra, value=unwarrantable>
<KeyValuePair: key=unwarrantable, value=unwarrantable>
<KeyValuePair: key=emig, value=emigration>
<KeyValuePair: key=emigrati, value=emigration>
<KeyValuePair: key=sett, value=setting>
<KeyValuePair: key=settl, value=settled>
<KeyValuePair: key=settlem, value=settlement>
